STUDENT_ID,X1POVERTY,X1CONTROL,X1LOCALE,X1REGION,S2SEX,S2FRDROPOUT,S2EDUASP,S2EDUEXP,S2SUREBA,S2CLG2013,S2GOVLOAN,S2OCC30EARN,S2FAVSUBJ,S2CANTAFFORD,S2ACADEMIC,S2CANTSEND,S2HSJOBEVER,S2HSJOBHR,S3ANYCLGCRED,S3DUAL,S3APMATH,S3APSCIENCE,S3CNSLCLG,S3CLGINFLU,X1FAMINCOME,X3TGPATOT,X1RACE
10001,0,Public,Rural,Midwest,Male,1,6,10,1,1,3,40000,7,4,0,0,1,20,1,2,1,0,1,1,10,3.5,8
10002,0,Public,Rural,Northeast,Female,0,5,8,2,1,1,35000,1,3,0,0,1,16,0,-7,-7,-7,1,4,3,4,8
10003,0,Public,Suburb,West,Female,0,7,12,1,1,3,85000,1,3,0,0,0,-7,0,-7,-7,-7,1,4,6,3,3
10004,0,Public,Suburb,South,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,4,8
10005,0,Public,City,South,Male,-9,5,9,3,1,-9,-7,11,1,0,0,0,-7,1,2,1,1,1,1,9,3.5,8
10006,0,Public,Rural,South,Female,0,7,10,1,1,1,-9,9,2,0,-9,1,-9,1,1,-7,-7,1,3,5,3.5,8
10007,0,Public,Rural,Northeast,Female,1,5,8,1,1,1,70000,9,2,0,0,1,20,0,-7,-7,-7,1,4,4,2.5,8
10008,0,Public,Town,Northeast,Male,0,5,8,1,1,2,-9,8,3,0,0,1,15,1,1,0,0,1,10,7,3.5,8
10009,0,Public,Town,South,Male,0,7,6,2,1,3,-7,13,3,0,0,1,13,1,1,1,0,1,10,4,3.5,8
10010,0,Public,City,Northeast,Female,0,7,12,1,1,3,-9,6,2,0,-7,1,20,1,2,0,1,1,10,4,4,8
10011,0,Public,Suburb,South,Male,0,6,6,1,1,3,100000,3,3,0,1,1,10,1,1,-7,-7,1,4,5,3,8
10012,0,Private,Suburb,Midwest,Female,0,6,10,1,1,3,-7,3,3,1,0,0,-7,1,2,0,0,1,4,13,4,8
10013,0,Public,Suburb,South,Male,0,8,10,1,1,3,-7,11,4,1,0,0,-7,1,2,1,1,1,4,13,3.5,8
10014,0,Public,Town,South,Other or Not Defined,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-7,-7,-7,-7,4,2,-8,3
10015,0,Public,City,South,Female,0,5,8,2,1,1,80000,4,3,0,0,0,-7,1,2,1,0,1,1,11,4,8
10016,0,Public,Rural,Midwest,Female,0,8,13,3,1,3,-7,13,4,0,0,0,-7,0,-7,-7,-7,1,4,3,3.5,8
10018,0,Private,Town,Midwest,Male,0,5,8,1,2,3,40000,5,3,0,0,1,15,0,-7,-7,-7,2,4,4,4,8
10019,-8,Public,City,Midwest,Male,1,5,8,1,1,1,-7,7,3,0,0,0,-7,-4,-4,-4,-4,-4,-4,-8,3,5
