State,State Code,Region,Division,Country
Alaska,AK,West,Pacific,United States
Alabama,AL,South,East South Central,United States
Arkansas,AR,South,West South Central,United States
Arizona,AZ,West,Mountain,United States
California,CA,West,Pacific,United States
Colorado,CO,West,Mountain,United States
Connecticut,CT,Northeast,New England,United States
District of Columbia,DC,South,South Atlantic,United States
Delaware,DE,South,South Atlantic,United States
Florida,FL,South,South Atlantic,United States
Georgia,GA,South,South Atlantic,United States
Hawaii,HI,West,Pacific,United States
Iowa,IA,Midwest,West North Central,United States
Idaho,ID,West,Mountain,United States
Illinois,IL,Midwest,East North Central,United States
Indiana,IN,Midwest,East North Central,United States
Kansas,KS,Midwest,West North Central,United States
Kentucky,KY,South,East South Central,United States
Louisiana,LA,South,West South Central,United States
Massachusetts,MA,Northeast,New England,United States
Maryland,MD,South,South Atlantic,United States
Maine,ME,Northeast,New England,United States
Michigan,MI,Midwest,East North Central,United States
Minnesota,MN,Midwest,West North Central,United States
Missouri,MO,Midwest,West North Central,United States
Mississippi,MS,South,East South Central,United States
Montana,MT,West,Mountain,United States
North Carolina,NC,South,South Atlantic,United States
North Dakota,ND,Midwest,West North Central,United States
Nebraska,NE,Midwest,West North Central,United States
New Hampshire,NH,Northeast,New England,United States
New Jersey,NJ,Northeast,Middle Atlantic,United States
New Mexico,NM,West,Mountain,United States
Nevada,NV,West,Mountain,United States
New York,NY,Northeast,Middle Atlantic,United States
Ohio,OH,Midwest,East North Central,United States
Oklahoma,OK,South,West South Central,United States
Oregon,OR,West,Pacific,United States
Pennsylvania,PA,Northeast,Middle Atlantic,United States
Rhode Island,RI,Northeast,New England,United States
South Carolina,SC,South,South Atlantic,United States
South Dakota,SD,Midwest,West North Central,United States
Tennessee,TN,South,East South Central,United States
Texas,TX,South,West South Central,United States
Utah,UT,West,Mountain,United States
Virginia,VA,South,South Atlantic,United States
Vermont,VT,Northeast,New England,United States
Washington,WA,West,Pacific,United States
Wisconsin,WI,Midwest,East North Central,United States
West Virginia,WV,South,South Atlantic,United States
Wyoming,WY,West,Mountain,United States
